mine/rival,10000a,10000b,10000c,100000a,100000b,200000c,200000d,400000a,400000b,Julia_a,Julia_b
10000a,0,9,12,5,5,5,5,5,5,20,20
10000b,19(win),0,19(win),19(win),19(win),19(win),19(win),19(win),10(win),20,20
10000c,14(win),18,0,8(win),6,6,6,8(win),14,20,20
100000a,6(win),10,7,0,6,6,6,0,6,20,20
100000b,8(win),12,7(win),8(win),0,0,0,8(win),8,20,20
200000c,8(win),12,7(win),8(win),0,0,0,8(win),8,20,20
200000d,8(win),12,7(win),8(win),0,0,0,8(win),8,20,20
400000a,6(win),10,7,0,6,6,6,0,6,20,20
400000b,9(win),4,16(win),9(win),9(win),9(win),9(win),9(win),0,20,20
Julia_a,25(win),25(win),25(win),25(win),25(win),25(win),25(win),25(win),25(win),0,0
Julia_b,25(win),25(win),25(win),25(win),25(win),25(win),25(win),25(win),25(win),0,0
